epoch,train_loss,train_acc,val_loss,val_acc
1,1.9838247850602944,0.1597834067547724,1.9045484435365763,0.25624082232011747
2,1.9164725603336104,0.20209251101321585,1.8621040059256309,0.28193832599118945
3,1.8716309138856795,0.23641703377386197,1.827943475936128,0.2701908957415565
4,1.8321019904729028,0.2583516886930984,1.8046158329855853,0.2599118942731278
5,1.80731585354882,0.26908957415565343,1.7865681396181887,0.2907488986784141
6,1.7915070776372228,0.27936857562408224,1.766050517821627,0.2790014684287812
7,1.7840185746572441,0.28258076358296624,1.7622457595648744,0.2775330396475771
8,1.773585122937498,0.2861600587371512,1.7505313210550384,0.2922173274596182
9,1.7551561466222643,0.3025881057268722,1.7405360923114501,0.2936857562408223
10,1.760533745418386,0.2944199706314244,1.7361032537426717,0.2973568281938326
11,1.7512012079423744,0.29955947136563876,1.7283523357562207,0.30176211453744495
12,1.7420949811627335,0.30469897209985314,1.7288783205763358,0.3002936857562408
13,1.743044372872284,0.30359765051395005,1.721930429798916,0.31938325991189426
14,1.7336409895430578,0.31516152716593243,1.7193110001419785,0.3142437591776799
15,1.7307481126813287,0.31130690161527164,1.7218723129070803,0.3069016152716593
16,1.7280846175993416,0.3162628487518355,1.7137632235206346,0.3120411160058737
17,1.7220959673894134,0.3174559471365639,1.7136928989673677,0.3076358296622614
18,1.7284443446718123,0.3099302496328928,1.7106944593914104,0.3135095447870778
19,1.7265729307253106,0.31497797356828194,1.7159884599161919,0.31130690161527164
20,1.7149145193562108,0.32140234948604995,1.711636457324203,0.31277533039647576
21,1.7111949560050572,0.32498164464023493,1.6992932608824294,0.3208516886930984
22,1.7100098547956493,0.3271842878120411,1.7067373798457186,0.31497797356828194
23,1.7154255398219553,0.3219530102790015,1.6963644055718017,0.31791483113069013
24,1.7062072444067127,0.32599118942731276,1.694818103716062,0.3208516886930984
25,1.7011173287852395,0.33094713656387664,1.6914205094266044,0.3267254038179148
26,1.6984346982490999,0.325715859030837,1.6896562487018265,0.32599118942731276
27,1.6944055730550824,0.33590308370044053,1.682719435985918,0.3340675477239354
28,1.6933572229309755,0.3302129221732746,1.685199125922899,0.3274596182085169
29,1.6965863916492323,0.33461820851688695,1.6801072530634427,0.3399412628487518
30,1.6889534098111236,0.3408590308370044,1.6790566805000697,0.3377386196769457
31,1.689038208402726,0.3361784140969163,1.6769967065158569,0.34140969162995594
32,1.6883011359650308,0.3409508076358297,1.6790087629169794,0.3267254038179148
33,1.6899011159608368,0.3378303964757709,1.6732222065876583,0.33480176211453744
34,1.6810658513711938,0.34177679882525697,1.6693156875352677,0.3524229074889868
35,1.6792110857634468,0.34131791483113066,1.6761730272164255,0.33627019089574156
36,1.677584968999619,0.34847650513950074,1.6683510015014336,0.3406754772393539
37,1.672950229980872,0.3464574155653451,1.6700128591708325,0.33847283406754775
38,1.6696742197140373,0.34673274596182085,1.6628416617361284,0.3436123348017621
39,1.6693330134939341,0.3500367107195301,1.66131186222715,0.3509544787077827
40,1.6693097925396219,0.3448972099853157,1.6605181123366615,0.3568281938325991
41,1.6642634455502996,0.351413362701909,1.655521389496309,0.34508076358296624
42,1.6661875890390114,0.3447136563876652,1.6540390300330612,0.3406754772393539
43,1.661732590321052,0.3472834067547724,1.6542048657343076,0.34508076358296624
44,1.6601523334234296,0.35178046989721,1.6527303935147593,0.34948604992657856
45,1.6573894790615804,0.355726872246696,1.64983967134781,0.3392070484581498
46,1.655724430399319,0.3551762114537445,1.6625192538232005,0.3472834067547724
47,1.6536797554657499,0.35499265785609396,1.6489177810988238,0.3472834067547724
48,1.6526898863382102,0.35444199706314244,1.6551666853186318,0.3502202643171806
49,1.6502795921373297,0.3543502202643172,1.6504772050790324,0.3443465491923642
50,1.647130724617038,0.3580212922173275,1.6428269496223125,0.34508076358296624
