Training Log - Features: 125, LR: 0.003, Batch: 128
Epoch      | Train Loss   | Val Loss     | Val Acc   
131        | 0.6198       | 0.8393       | 0.8396    
132        | 0.6233       | 0.8359       | 0.8460    
133        | 0.6221       | 0.8319       | 0.8466    
134        | 0.6196       | 0.8340       | 0.8443    
135        | 0.6193       | 0.8351       | 0.8428    
136        | 0.6233       | 0.8404       | 0.8413    
137        | 0.6213       | 0.8367       | 0.8449    
138        | 0.6154       | 0.8305       | 0.8475    
139        | 0.6146       | 0.8313       | 0.8455    
140        | 0.6162       | 0.8345       | 0.8452    
141        | 0.6130       | 0.8304       | 0.8457    
142        | 0.6151       | 0.8358       | 0.8452    
143        | 0.6139       | 0.8294       | 0.8472    
144        | 0.6181       | 0.8349       | 0.8452    
145        | 0.6156       | 0.8312       | 0.8469    
146        | 0.6116       | 0.8334       | 0.8449    
147        | 0.6164       | 0.8288       | 0.8469    
148        | 0.6131       | 0.8307       | 0.8466    
149        | 0.6130       | 0.8305       | 0.8463    
150        | 0.6155       | 0.8265       | 0.8449    
